000; Administração Geral; 000; Administração Geral
001; Modernização e Reforma administrativa; 011; Organização administrativa (Organização e Funcionamento)
002; Planos, programas e projetos de trabalho; 015.1; Planejamento institucional (Gestão Institucional)
003; Relatórios de atividades; 015.2; Acompanhamento das atividades (Gestão Institucional)
004; Acordos. Ajustes. Contratos. Convênios; 001; Relação interinstitucional (Administração Geral)
010; Organização e funcionamento; 010; Organização e funcionamento
010; Organização e funcionamento; 010.01; Normatização. Regulamentação (Organização e Funcionamento)
010.1; Registro nos órgãos competentes; 012; Habilitação jurídica e regularização fiscal (Organização e Funcionamento)
010.2; Regimentos. Regulamentos. Estatutos. Organogramas. Estruturas; 011; Organização administrativa (Organização e Funcionamento)
010.3; Audiências. Despachos. Reuniões; 013.1; Operacionalização (Coordenação e gestão de reuniões)
010.3; Audiências. Despachos. Reuniões; 013.2; Registro de deliberações (Coordenação e gestão de reuniões)
011; Comissões. Conselhos. Grupos de trabalho. Juntas. Comitês; 005.1; Criação e organização (Participação em órgãos colegiados)
011; Comissões. Conselhos. Grupos de trabalho. Juntas. Comitês; 005.2; Operacionalização de reuniões (Participação em órgãos colegiados)
012; Comunicação social; 019.1; Gerenciamento de estratégias de marketing e de comunicação social (Outras ações referentes à Organização e Funcionamento)
012.1; Relações com a imprensa; 019.112; Relação com a imprensa (Outras ações referentes à Organização e Funcionamento)
012.11; Credenciamento de jornalistas; 019.111; Credenciamento de jornalistas (Outras ações referentes à Organização e Funcionamento)
012.12; Entrevistas. Noticiários. Reportagens. Editoriais; 019.112; Relação com a imprensa (Outras ações referentes à Organização e Funcionamento)
012.2; Divulgação interna; 019.12; Divulgação interna (Outras ações referentes à Organização e Funcionamento)
012.3; Campanhas institucionais. Publicidade; 019.113; Elaboração de propagandas, campanhas de marketing e publicitárias (Comunicação Externa/Comunicação Social/Outras ações referentes à Organização e Funcionamento)
019; Outros assuntos referentes à organização e funcionamento; 019; Outras ações referentes à organização e funcionamento
019.01; Informações sobre o órgão; 002.11; Pedido de acesso à informação e recurso (Acesso à informação/Atendimento ao cidadão)
020; Pessoal; 020; Gestão de pessoas
020.1; Legislação; 020.01; Normatização. Regulamentação (Gestão de pessoas)
020.2; Identificação funcional; 020.2; Identificação funcional (Gestão de Pessoas)
020.3; Obrigações trabalhistas e estatutárias. Relações com órgãos normatizadores da administração pública. Lei dos 2/3. RAIS; 023.186; Lei dos dois terços. Relação anual de informações sociais (Rais) (Obrigações trabalhistas e estatutárias, encargos patronais e recolhimentos)
020.31; Relações com os conselhos profissionais; 020.033; Relação com conselhos profissionais (Relacionamento com Entidades Representativas de Classe)
020.4; Sindicatos. Acordos. Dissídios; 020.031; Relação com sindicatos (Relacionamento com Entidades Representativas de Classes)
020.5; Assentamentos individuais. Cadastro; 020.11; Servidores e empregados públicos (Assentamento funcional)
020.5; Assentamentos individuais. Cadastro; 020.12; Servidores temporários (Assentamento funcional)
020.5; Assentamentos individuais. Cadastro; 020.13; Residentes e estagiários (Assentamento funcional)
020.5; Assentamentos individuais. Cadastro; 020.14; Ocupantes de cargo comissionado e de função de confiança (Assentamento funcional)
021; Recrutamento e seleção; 021; Recrutamento e seleção
021.1; Candidatos a cargo e emprego públicos: inscrição e curriculum vitae; 021.2; Inscrição (Recrutamento e seleção)
021.2; Exames de seleção; 021.1; Planejamento do processo seletivo (Recrutamento e seleção)
021.2; Exames de seleção; 021.3; Controle de aplicação de provas (Recrutamento e seleção)
